stocks,fx,bonds,total
-78491.12212729082,-8059421.787037253,-650073.0141835213,-8787985.923348065
-397181.4605640918,-37647793.45437324,1391465.601898715,-36653509.31303862
537491.4796973988,-20578744.836702734,-208138.78608005494,-20249392.14308539
-794780.6571881492,56099157.112924635,-1054790.557523802,54249585.898212686
646530.6594465468,15891692.265293479,335471.9837407619,16873694.908480786
-138843.7070017904,-20276187.03764528,-560271.4412255958,-20975302.185872667
-812079.1390510779,-11051072.167609572,-45458.8230683282,-11908610.129728978
-928080.100203827,-10196340.787872404,-1971013.680142343,-13095434.568218574
168313.01485101134,-16713804.599918962,-1249354.982826218,-17794846.56789417
147594.2861297056,65871792.1011762,-722194.1945001036,65297192.192805804
-110504.02248937637,-2421103.61144495,-2470205.163413435,-5001812.797347762
538990.802872166,90140047.57026899,-891149.9152753726,89787888.45786577
-311705.36281949095,34645756.67074019,269166.43026830256,34603217.738189
670850.6708058398,36201181.08984226,-732129.1191655621,36139902.64148254
170274.04102803022,34991653.03539178,-166737.93970797956,34995189.13671183
646065.6070095152,4954377.810727239,1375911.0676913187,6976354.4854280725
1247813.6636392474,45735645.71460876,379446.2389499545,47362905.61719796
158187.09954092093,-42842760.31446427,-1269994.6397557035,-43954567.854679056
1523265.8418041859,37791456.839042544,263808.9127315283,39578531.59357826
-240024.8547620345,15081490.282070935,534430.0549109131,15375895.482219813
-493753.1188474186,-10361224.374935389,799761.9978841022,-10055215.495898705
-292959.3837725371,-31833249.365345895,-939469.406220749,-33065678.15533918
-481262.0371212065,-1359020.9034542441,-728441.7605042383,-2568724.701079689
174067.51540678926,-7054542.649574637,-1094043.1681655943,-7974518.3023334425
979838.815760579,-5399238.0623371005,241431.3823516518,-4177967.8642248698
-839569.4606332108,23107198.47367111,-837233.8419464007,21430395.171091497
-169912.4462410882,-25000710.54400927,327355.8197914064,-24843267.17045895
610246.900238907,68401560.35811874,-276936.040595755,68734871.21776189
-220361.20341594517,-1778654.0138019025,-1202969.5512683466,-3201984.7684861943
386335.6981511358,-5076987.345068991,-416187.8421558961,-5106839.4890737515
169808.55235148966,-28514520.96714762,1533963.2411194742,-26810749.173676655
-186149.65927689336,51052787.38879126,-1291218.3032819778,49575419.42623239
-1030033.7246745061,-46637816.30005574,-2056612.2407020554,-49724462.265432306
866212.9027530365,-44673473.33567989,-319142.73162486404,-44126403.16455171
364659.1879428029,23069627.717644274,516517.85128165036,23950804.756868728
329332.6870207172,53261846.81977302,22331.282229684293,53613510.78902342
-96896.92174651101,-61089306.70642927,-2222344.387032844,-63408548.015208624
1756817.5144649,-24776530.247090578,1166030.7613331452,-21853681.971292533
-690048.858129099,82714669.15017563,-918468.1085269824,81106152.18351954
-232055.37054908648,1599740.5929133296,-405910.32815371454,961774.8942105286
50982.029891870916,-56130968.84528512,-1361052.7498608232,-57441039.56525407
531458.1777861957,9123510.366454333,315582.37923622876,9970550.923476757
-473856.349692557,-458486.89927345514,-100697.86878908426,-1033041.1177550964
-480521.29273586534,-35561532.3350873,396211.21419398487,-35645842.41362918
266330.1473534852,4838159.357913524,-1128517.9147625566,3975971.5905044526
-154349.431080224,127286388.43910193,-1313915.0882487595,125818123.91977295
-211654.0336368177,-15472950.000620961,562968.1926649138,-15121635.841592865
-256232.2416709587,-37938020.27342981,569259.0321653932,-37624993.48293538
-844317.3623813521,15041442.8890059,-721264.0367061496,13475861.489918398
-626453.3065347616,-36280733.07936674,-558550.2088393569,-37465736.59474086
452601.9544698484,-40224337.94341582,1450223.1123969257,-38321512.87654905
190992.68483026326,-36526558.57188177,-498506.9715510756,-36834072.85860258
1358033.1166379992,37901600.71362242,1547781.4820297807,40807415.3122902
97736.89749825001,-31497442.557967216,373975.9702384025,-31025729.690230563
-738729.5688734483,41189118.06683403,-356736.59260711074,40093651.90535347
1355837.2922776788,-27908214.934250414,-434130.37928495556,-26986508.02125769
1915899.922037227,50097601.88961941,1167627.227355197,53181129.039011836
1739340.9158897325,-12881726.704410523,-400686.1380706057,-11543071.926591396
-473417.22130269,-16075795.776755244,-1029026.8306593895,-17578239.82871732
17246.119865590706,83583890.31133962,651047.9438645244,84252184.37506974
-1057463.7431240324,-69636033.78858632,-1628797.8677102923,-72322295.39942065
-339498.77422005497,8169104.351000905,209864.26548570395,8039469.842266554
72047.50119229779,-46966579.635257244,-1468093.49794887,-48362625.63201381
-638317.6783012357,-29511279.897095323,-1944564.4642249793,-32094162.03962154
329387.00091944076,-24268964.407114387,997058.8508611694,-22942518.55533378
-867308.202186469,61259862.0826146,-1486278.010002911,58906275.870425224
-526621.2894703522,-30797416.471966326,-1141481.2008164153,-32465518.962253094
-805452.3528201245,-22935289.641760707,-345972.16205284,-24086714.15663367
637670.0978764854,-10171635.733314663,942706.8234287351,-8591258.812009443
307535.1483406704,-30276276.405733198,-806120.7901324928,-30774862.04752502
-1420765.2742458042,41834589.247470796,-1390119.3872923926,39023704.5859326
1209358.0114648528,-29261006.764662266,982496.9807180017,-27069151.77247941
1561738.059282329,-38417381.00398618,1120864.7119891942,-35734778.23271465
710813.1164902877,143329181.32188368,895899.4864432439,144935893.9248172
77663.31669028848,-49984209.33298901,126840.18071392924,-49779705.83558479
-229702.51133522764,49418172.626810014,-1110013.7931959182,48078456.32227887
79132.77025264315,83119765.04684472,788398.9114499688,83987296.72854733
-334991.92342862673,-31077552.323111206,-806342.9768735617,-32218887.223413393
1499030.0921233073,-31093417.14926094,1405941.11724706,-28188445.93989057
-596425.4071202148,7241067.304910302,-1105605.638277039,5539036.259513048
383427.4244823195,15746.21643012762,403270.94393759966,802444.5848500468
-815335.0869230106,15323590.683118284,-277182.5286588818,14231073.067536391
634347.3892982714,10347488.235529065,1122296.0078891665,12104131.632716503
-427793.8726374153,-61164368.85560271,91201.10815467685,-61500961.62008545
964246.1545563862,-27659546.040991843,-973282.4292118996,-27668582.315647356
-660525.750232527,-23477585.946881354,271563.9977956414,-23866547.699318238
-426546.9057478402,-20070058.25835058,-350514.2849521488,-20847119.449050568
93168.98345619813,-5206994.9025530815,140822.77383586764,-4973003.145261016
-163644.4747131914,-39298969.51337519,-324710.18383800983,-39787324.171926394
-400580.22024863027,-17787462.564876854,273227.3313825056,-17914815.45374298
926821.2533642557,-40761625.14144713,-824238.1248403192,-40659042.01292319
-366300.5042825006,-18123239.356497884,1478163.8512611166,-17011376.009519268
-835935.2875462528,83454314.36264473,-1725821.8171309829,80892557.2579675
-259500.34532724135,5816304.550378442,-520337.53045826405,5036466.674592936
-220397.66992166266,113698650.14458281,-593972.7246396393,112884279.7500215
